customer_id,territory_id,last_successful_visit,recency,frequency,monetary,r_score,f_score,m_score,rfm_combined,seasonality_score,territory_score,locality_score,rating_score,final_customer_score,rfm_segment_final,customer_rank
CUS_DMM_0012,TER_DMM,2026-05-10,19.0,2.0,31380.93,1.0,1.0,1.0,1.0,1.0,0.6302312693560688,0.9941415526711391,0.75,0.9374372822027208,High,1
CUS_DMM_0040,TER_DMM,2026-05-10,19.0,2.0,30977.870000000003,1.0,1.0,0.9871558937227164,0.9957186312409054,1.0,0.6302312693560688,1.0,0.75,0.936310579431969,High,2
CUS_DMM_0010,TER_DMM,2026-05-09,20.0,2.0,26846.82,0.9090909090909091,1.0,0.8555138423239846,0.9215349171382979,1.0,0.6302312693560688,0.9941415526711391,0.75,0.9060512490580401,High,3
CUS_DMM_0050,TER_DMM,2026-05-10,19.0,2.0,23672.28,1.0,1.0,0.7543524044698484,0.9181174681566162,1.0,0.6302312693560688,0.9941415526711391,0.75,0.9046842694653674,High,4
CUS_DMM_0003,TER_DMM,2026-05-10,19.0,2.0,24439.4,1.0,1.0,0.7787978240287972,0.9262659413429324,1.0,0.6302312693560688,0.6819498118382525,0.75,0.8767244846566051,High,5
CUS_DMM_0100,TER_DMM,2026-05-07,22.0,2.0,24266.309999999998,0.7272727272727273,1.0,0.7732820537823448,0.8335182603516907,0.9867549668874173,0.6302312693560688,1.0,0.75,0.8674569211425083,High,6
CUS_DMM_0093,TER_DMM,2026-05-09,20.0,2.0,20154.89,0.9090909090909091,1.0,0.6422655415247412,0.8504521502052168,1.0,0.6302312693560688,0.606053653768117,1.0,0.8638093523945053,High,7
CUS_DMM_0053,TER_DMM,2026-05-09,20.0,2.0,9206.58,0.9090909090909091,1.0,0.2933813625026409,0.7341574238645167,1.0,0.6302312693560688,1.0,1.0,0.8566860964814135,High,8
CUS_DMM_0067,TER_DMM,2026-05-10,19.0,2.0,18936.23,1.0,1.0,0.6034311283954937,0.8678103761318313,1.0,0.6302312693560688,0.606053653768117,0.75,0.8457526427651512,High,9
CUS_DMM_0078,TER_DMM,2026-05-10,19.0,2.0,9508.34,1.0,1.0,0.30299739364002276,0.7676657978800075,1.0,0.6302312693560688,1.0,0.5,0.8200894460876099,High,10
CUS_DMM_0057,TER_DMM,2026-05-10,19.0,2.0,24741.36,1.0,1.0,0.7884202284635924,0.9294734094878642,1.0,0.6302312693560688,0.0,0.75,0.8098124907307527,High,11
CUS_DMM_0013,TER_DMM,2026-05-09,20.0,2.0,1635.83,0.9090909090909091,1.0,0.05212815553904871,0.653739688209986,1.0,0.6302312693560688,1.0,0.75,0.7995190022196013,High,12
CUS_DMM_0079,TER_DMM,2026-05-10,19.0,2.0,5916.54,1.0,1.0,0.18853934539224937,0.7295131151307498,1.0,0.6302312693560688,0.6819498118382525,0.75,0.7980233541717321,High,13
CUS_DMM_0027,TER_DMM,2026-05-10,19.0,2.0,1776.4099999999999,1.0,1.0,0.056607946290948036,0.6855359820969826,1.0,0.6302312693560688,1.0,0.5,0.7872375197743999,High,14
CUS_DMM_0048,TER_DMM,2026-05-07,22.0,2.0,5278.67,0.7272727272727273,1.0,0.16821266928672923,0.6318284655198189,0.9867549668874173,0.6302312693560688,1.0,0.75,0.7867810032097595,High,15
CUS_DMM_0095,TER_DMM,2026-05-09,20.0,2.0,4995.02,0.9090909090909091,1.0,0.15917374023013342,0.6894215497736808,1.0,0.6302312693560688,0.6819498118382525,0.75,0.7819867280289043,High,16
CUS_DMM_0035,TER_DMM,2026-05-07,22.0,2.0,2105.4,0.7272727272727273,1.0,0.06709170187116825,0.5981214763812985,0.9867549668874173,0.6302312693560688,1.0,0.75,0.7732982075543515,High,17
CUS_DMM_0018,TER_DMM,2026-05-09,20.0,2.0,1831.2799999999997,0.9090909090909091,1.0,0.058356460436322304,0.6558157898424105,1.0,0.6302312693560688,0.6819498118382525,0.75,0.7685444240563963,High,18
CUS_DMM_0015,TER_DMM,2026-05-07,22.0,2.0,6362.96,0.7272727272727273,1.0,0.2027651825487645,0.6433459699404972,0.9867549668874173,0.6302312693560688,0.9941415526711391,0.5,0.7658021602451449,High,19
